Categoría del Problema;Psicoterapias Basadas en Evidencia;;;Siglas de Búsqueda;Referencia Principal para la Lista:;"https://div12.org/treatments/
https://www.nice.org.uk/";APA - División 12: Criterios de Evidencia desde Chambless & Hollon (1998) y Tolin (2015);NICE Organization;;;
;Categoría general;Español;Inglés;;Descripción Breve;Referencias de Sustento;Observaciones Importantes;;;;
Abuso de Substancias;Terapia Cognitivo Conductual;Terapia Cognitiva Conductual para el Abuso de Sustancias;Cognitive-Behavioral Therapy for Substances Use Disorders;CBT, TCC, TCC SPA;Centrada en disminuir o eliminar el consumo de substancias a partir en la modificación de pensamientos que precipitan su uso, enseñanza o mejoramiento de la discriminación de los antecedentes y consecuentes relacionados, y a través de reforzamiento social de conductas enfocado a metas.;;"Base: Perspectivas Cognitivas.
Duración: Variada. Aproximadamente 6-14 sesiones.
Nivel de Evidencia: N/A (1998) / Fuerte (2015).";;;
Abuso de Substancias;Terapia de Manejo de Contingencias;Terapia de Manejo de Contingencias para Trastornos por Abuso de Substancias;Contingency Management Therapy for Substances Use Disorders;CMT, TMC, TMC SPA;Centrada en disminuir o eliminar el consumo de substancias a partir del monitoreo constante del consumo de la substancia (generalmente diario), reforzar la conducta alternativa a través de tangibles, y ausencia de reforzamiento cuando la conducta alternativa no ocurre. Principalmente, la conducta alternativa reforzada es la abstinencia del consumo de la sustancia.;;"Base: Perspectivas Conductuales basadas en el Conductismo Skinneriano y Post-skinneriano.
Duración: Variada. Aproximadamente 8-24 semanas.
Nivel de Evidencia: N/A (1998) / Fuerte (2015).
Requiere hacerse al tiempo con otra terapia basada en evidencia para mantener su efectividad.";;;;
Depresión;Terapia Dialéctico Conductual;Terapia Dialéctico Conductual Radicalmente Abierta para el Exceso de Control;Radically Open Dialectical Behavior Therapy for Disorders of Overcontrol;RO DBT, TDC RA;Centrada en entrenar o mejorar las habilidades de expresión emocional, entendimiento de las señales sociales, sinceridad, y flexibilidad psicológica para la formación de vínculos sociales.;;"Base: No es clara. Aparente mezcla de conceptos de Perspectivas Conductuales, Cognitivas y Contextuales.
Duración: Variada. Mínimo 30 semanas.
Nivel de Evidencia: Pendiente de Evaluación (2015) / Moderada (1998).";;;;
Trastorno de Estrés Postraumático;Terapia de Resolución Acelerada;Terapia de Resolución Acelerada para Trastorno de Estrés Postraumático;Accelerated Resolution Therapy For Posttraumatic Stress Disorder;ART, ART PTSD, TRA, TRA TEP;Centrada en el uso de técnicas de exposición in vivo, movimientos rápidos de ojos, e imaginería por rescripción de imágenes para recondicionamiento.;;"Base: Neurociencias, Cognitivismo y Gestalt. Implica una mezcla de conceptos de Perspectivas Cognitivas y Neurocientíficas.
Duración: Aproximadamente 5 sesiones.
Nivel de Evidencia: Pendiente de Evaluación (2015) / Moderada (1998).";;;;
Crianza Parental;Intervención de Poder de Madre;Poder de Madre: Promoción de Resiliencia en Madres y Familias;Mom Power: Promoting Resilience In Mothers & Families;N/A;Centrada en el entrenamiento de madres para crianza y acceso a recursos, habilidades de autocuidado para las madres, y desarrollo de redes de apoyo entre madres. Es adaptable en caso de variación de los cuidadores principales: padres, padres adoptivos, otros familiares, y cuidadores especializados.;;"No es terapia como tal. Se creó como programa de Psiquiatría de la Universidad de Michigan.
Base: Desconocida.
Duración: 13 sesiones. 10 sesiones grupales, 3 individuales.
Nivel de Evidencia: Pendiente de Evaluación (2015) / Moderada (1998).";;;;
Problemas de Pareja;Terapia Emocionalmente Enfocada;Terapia Emocionalmente Enfocada para Parejas;Emotionally Focused Therapy for Couples;EFT, EFTC;Centrada en el desarrollo de habilidades interpersonales para el desarrollo de apego seguro: accesibilidad emocional, sensibilidad, y compromiso.;;"Base: Sistémica-Humanista.
Duración: Entre 8 y 10 sesiones.
Nivel de Evidencia: Pendiente de Evaluación (2015) / Fuerte (1998).";;;;
Depresión;Terapia Cognitiva;Terapia Cognitiva basada en Mindfulness;Mindfulness-Based Cognitive Therapy;MBCT, TCBM;Centrada en disminución de reactividad cognitiva por rumiación durante episodios depresivos, modificando las experiencias internas a nivel cognitivo y emocional.;;"Base: Perspectivas Cognitivas. Mezcla de conceptos de Perspectivas Cognitivas con Técnicas de Mindfulness.
Duración: Entre 8 y 10 sesiones de 2 horas.
Nivel de Evidencia: Pendiente de Evaluación (2015) / Fuerte (1998).";;;;
Condición Médica Crónica;Terapia Cognitivo Conductual;Terapia Cognitivo Conductual para Depresión en Personas Diabéticas;Cognitive-Behavioral Therapy for Depression in People with Diabetes;CBT, TCC, CBT Diabetes, TCC Diabates;Centrada en modificar estilos de vida enfocados a conductas sanas a partir en la modificación de pensamientos y conductas que dificultan el autocuidado de la diabetes con un enfoque a metas.;;"Base: Perspectivas Cognitivas.
Duración: Entre 10-12 sesiones. Puede variar a veces.
Nivel de Evidencia: Pendiente de Evaluación (2015) / Fuerte (1998).";;;;
Condición Médica Crónica;Terapia Cognitivo Conductual;Terapia Cognitivo Conductual para Síndrome del Colon Irritable;Cognitive Behavioral Therapy For Irritable Bowel Syndrome;CBT, TCC, CBT Bowel, TCC Colon;Centrado en los protocolos de TCC Estándar (S-CBT, TCC-E) y TCC de Mínimo Contacto (MC-CBT, TCC-MC) bajo psicoeducación del manejo del estrés en relación el colon irritable, automonitoreo de situaciones de estrés relacionados, ejercicios de relajación muscular, reestructuración cognitiva de catastrofismo y perfeccionismo, y resolución de problemas con flexibilización psicologíca.;;"Base: Perspectivas Cognitivas.
Duración: Entre 4-10 sesiones. Varía si es Estándar o Mínimo Contacto.
Nivel de Evidencia: Pendiente de Evaluación (2015) / Fuerte (1998).";;;;
Trastorno Obsesivo Compulsivo;Terapia de Aceptación y Compromiso;Terapia de Aceptación y Compromiso para Trastorno Obsesivo-Compulsivo;Acceptance And Commitment Therapy For Obsessive-Compulsive Disorder;ACT, TAC, ACT OCD, TAC TOC;Centrada en la modificación de la interpretación y relación propia del consultante con sus pensamientos, emociones, recuerdos, y sensaciones fisiológicas que son temidas y evitadas con un foco en desarrollar perspectiva psicológica centrada en el momento presente.;;"Base: Perspectivas Contextualistas basadas en la Teoría de Marcos Relacionales (TMR, o RFT).
Duración: Indeterminado.
Nivel de Evidencia: Moderado (2015).";;;;
Trastornos Psicóticos;Terapia de Aceptación y Compromiso;Terapia de Aceptación y Compromiso para Psicosis;Acceptance And Commitment Therapy For Psychosis;ACT, TAC, ACT Psyc, TAC Psic;"Centrada en la modificación de la interpretación y relación propia del consultante con sus pensamientos, emociones, recuerdos, y sensaciones fisiológicas que son temidas y evitadas con un foco en desarrollar perspectiva psicológica centrada en el momento presente. 

*No busca reducir los síntomas psicóticos, sólo mejorar las estrategias de afrontamiento ante estos.";;"Base: Perspectivas Contextualistas basadas en la Teoría de Marcos Relacionales (TMR, o RFT).
Duración: Indeterminado.
Nivel de Evidencia: Moderado (2015).";;;;
Trastornos de Ansiedad y Pánico;Intervención de Relajación Aplicada;Intervención de Relajación Aplicada para Trastorno de Pánico;Applied Relaxation For Panic Disorder;AR, AR PD, IRA, IRA Panico;Centrada en entrenamiento de procesos de discriminación de estímulos que inducen el pánico y entrenamiento en ejercicios de relajación muscular.;;"Base: Desconocida. Probablemente perspectivas conductuales basadas en el Conductismo Skinneriano.
Duración: Indeterminado.
Nivel de Evidencia: Moderado (2015).";;;;
Esquizofrenia y Trastornos Graves;Intervención de Comunidad Asertiva;Intervención de Comunidad Asertiva para Esquizofrenia;Assertive Community Treatment (ACT) For Schizophrenia;AC, ICA, AC Schiz, ICA Esquiz;Centrada en intervención grupal de diversos profesionales utilizando monitoreo constante, estrategias de rehabilitación social y reintegración social, e intervención en ambientes naturales con foco a la atención de población altamente vulnerable por problemas serios de salud mental o empeoramiento grave de la calidad de vida y aislamiento de la sociedad.;;"Intervención de Equipo Multidisciplinario para Comunidad con Problemas Serios de Salud Mental.

Base: Desconocida. Probablemente perspectivas conductuales basadas en el Conductismo Skinneriano y perspectivas de intervención psiquiátrica a nivel comunitario.
Duración: Indeterminado. Disponibilidad para atención de 24 horas.
Nivel de Evidencia: Fuerte (2015).";;;;
Abuso de Substancias;Terapia Conductual para Parejas;Terapia Conductual para Parejas con Trastornos por Abuso de Alcohol;Behavioral Couples Therapy For Alcohol Use Disorders;BCT, BCT Alcohol, TCP, TCP Alcohol;Centrada en intervención diádica en la que ambos compañeros sentimentales consumen alcohol y son evento antecedente del consumo del otro. Utiliza modificación conductual centrada en identificación de antecedentes disparadores del consumo, recompensa por abstinencia, mejoramiento de la relación sentimental orientada a conductas sanas frente al consumo, y disminución del estrés por pareja relacionado al consumo.;;"Base: Perspectivas Conductuales basadas en el Conductismo Skinneriano y Post-skinneriano. Perspectivas Cognitivo Conductuales. Varía según formación del terapeuta.
Duración: Fase de Evaluación variada. Planteamiento de intervención una sesión de aproximadamente 3 horas. 12 a 20 sesiones de intervención.
Nivel de Evidencia: N/A (1998) / Fuerte (2015).";;;;
Condición Médica Crónica;Terapia Cognitivo Conductual;Terapia Cognitivo Conductual para el Dolor de Espalda Crónico;Cognitive Behavioral Therapy For Chronic Low Back Pain;TCC Espalda;Centrada en la modificación de pensamientos orientados a la resignificación afectiva y pensamientos automáticos, y la implementación de automonitoreo y reforzamiento social.;;"Base: Perspectivas Cognitivo Conductuales.
Duración: Aproximadamente 8 a 12 sesiones de intervención.
Nivel de Evidencia: N/A (1998) / Fuerte (2015).";;;;
Condición Médica Crónica;Terapia Conductual;Terapia Conductual para el Dolor de Espalda Crónico;Behavioral Therapy For Chronic Low Back Pain;TC Espalda;Centrada en la modificación de conducta orientada a metas de retorno al funcionamiento normal y metas de vida a través del automonitoreo, el desarrollo de habilidades sociales y comunicativas, el desarrollo de ritmo reforzado, involucramiento de pareja y redes de apoyo, las habilidades de afrontamiento, y las respuestas de relajación utilizando reforzamiento social.;;"Base: Perspectivas Conductuales basadas en el Conductismo Skinneriano.
Duración: Aproximadamente 8 a 12 sesiones de intervención.
Nivel de Evidencia: N/A (1998) / Fuerte (2015).";;;;
Trastornos del Sueño;Bioretroalimentación;Intervenciones basadas en Bioretroalimentación para Insomnio;Biofeedback-Based Treatments For Insomnia;BioF, BioR, BioF Insomnia, BioR Insomnio;Centrada en el entrenamiento de discriminación del sensaciones psicobiológicas de estrés relacionadas al insomnio.;;"Base: Perspectivas Neurocientíficas Psicobiológicas.
Duración: Indeterminada.
Nivel de Evidencia: N/A (1998) / Moderada (2015).";;;;
Esquizofrenia y Trastornos Graves;Adaptación Cognitiva;Entrenamiento en Adaptación Cognitiva para la Esquizofrenia;Cognitive Adaptation Training (CAT) For Schizophrenia;CAT, EAC, CAT Schiz, EAC Esquiz;Centrada en el entrenamiento de estrategias de afrontamiento y compensatorias ante los déficits cognitivos causados por la esquizofrenia. Foco principal en problemas de Apatía, Desinhibición, y Resolución de Problemas.;;"Base: Perspectivas Cognitivas.
Duración: Indeterminada.
Nivel de Evidencia: N/A (1998) / Moderada (2015).";;;;
Déficit de Atención por Hiperactividad;Terapia Cognitivo Conductual;Terapia Cognitivo Conductual para Trastorno de Déficit de Atención por Hiperactividad en Adultos;Cognitive Behavioral Therapy For Adult ADHD;TCC TDAH, CBT ADHD;Centrada en Psicoeducación frente al TDAH, entrenamiento en habilidades de organización, planeación y manejo de tiempo, resolución de conflictos, estrategias para aumentar la atención, y reestructuración cognitiva para el estrés.;;"Base: Perspectivas Cognitivo Conductuales.
Duración: Indeterminada.
Nivel de Evidencia: N/A (1998) / Fuerte (2015).";;;;
Trastornos de Conducta Alimenticia;Terapia Cognitivo Conductual;Terapia Cognitivo Conductual para Anorexia Nerviosa;Cognitive Behavioral Therapy For Anorexia Nervosa;TCC Anorexia, CBT Anorexia;Centrada en atención post-hospitalización por anorexia nerviosa. Foco en prevención de recaída a través del entrenamiento en un patrón de alimentación regular y sano, exposición sistemática a comidas prohibidas, y reestructuración cognitiva entorno a la dismorfia y el peso.;;"Base: Perspectivas Cognitivo Conductuales.
Duración: Indeterminado. 2 sesiones por semana hasta que haya estabilidad en el peso corporal.
Nivel de Evidencia: N/A (1998) / Moderada (2015).";;;;
Trastornos de Conducta Alimenticia;Terapia Cognitivo Conductual;Terapia Cognitivo Conductual para Bulimia Nerviosa;Cognitive Behavioral Therapy For Bulimia Nervosa;TCC Bulimia, CBT Bulimia;Centrada en la modificación de patrones de atracón con entrenamiento en identificación de antecedentes que los inducen, conductas compensatorias poco sanas con entrenamiento en patrones regulares de alimentación sana y monitoreo sano del peso, y psicoeducación y reestructuración cognitiva entorno a la preocupación excesiva frente a la forma y peso del cuerpo.;;"Base: Perspectivas Cognitivo Conductuales.
Duración: Aproximadamente 20 sesiones.
Nivel de Evidencia: N/A (1998) / Fuerte (2015).";;;;
Trastornos de Ansiedad y Pánico;Terapia Cognitivo Conductual;Terapia Cognitivo Conductual para Trastorno de Ansiedad Generalizada;Cognitive Behavioral Therapy for Generalized Anxiety Disorder;TCC, TCC Ansiedad, CBT, CBT Anxiety;Centrada en la modificación de pensamientos relacionados con el estrés por ansiedad generalizada. Foco en la Reestructuración de la Rumiación por preocupación excesiva o carente de lógica, catastrofismo, creencias irracionales, y evitación de pensamientos e imágenes negativas.;;"Base: Perspectivas Cognitivo Conductuales.
Duración: Aproximadamente 20 sesiones.
Nivel de Evidencia: N/A (1998) / Fuerte (2015).";;;;
Trastornos de Ansiedad y Pánico;Terapia Conductual;Terapia Conductual para Trastorno de Ansiedad Generalizada;Behavioral Therapy for Generalized Anxiety Disorder;TC, TC Ansiedad, BT, BT Anxiety;Centrada en el entrenamiento de habilidades de relajación, planeación de actividades placenteras y relajantes, exposición progresiva y controlada a estímulos que son evitados.;;"Base: Perspectivas Conductuales basadas en el Conductismo Skinneriano y en perspectivas de Condicionamiento Respondiente.
Duración: Aproximadamente 20 sesiones.
Nivel de Evidencia: N/A (1998) / Fuerte (2015).";;;;
Condición Médica Crónica;Terapia Cognitivo Conductual;Terapia Cognitivo Conductual para Dolor de Cabeza Crónico;Cognitive Behavioral Therapy for Chronic Headache;TCC, TCC Cabeza;"Centrada en la modificación de conducta orientada a metas de retorno al funcionamiento normal y metas de vida a través del automonitoreo, autoregulación ante estresores, técnicas de Mindfulness, imaginería, relajación muscular, las habilidades de afrontamiento, y las respuestas de relajación utilizando reforzamiento social.

*A veces utilizado a la par con bioretroalimentación.";;"Base: Perspectivas Cognitivo Conductuales.
Duración: Indeterminado.
Nivel de Evidencia: N/A (1998) / Fuerte (2015).";;;;
Esquizofrenia y Trastornos Graves;Terapia Cognitivo Conductual;Terapia Cognitivo Conductual para Esquizofrenia; Cognitive Behavioral Therapy (CBT) for Schizophrenia;TCC, TCC Esquiz, CBT, CBT Schiz;Centrada en el entrenamiento para el funcionamiento autónomo y sano del consultante. Foco en el establecimiento de metas, habilidades de afrontamiento, reestructuración cognitiva, pruebas de realidad, y entrenamiento de realidad en contextos controlados.;;"Base: Perspectivas Cognitivo Conductuales.
Duración: Indeterminado.
Nivel de Evidencia: N/A (1998) / Fuerte (2015).";;;;
Esquizofrenia y Trastornos Graves;Intervención de Remediación Cognitiva;Intervención de Remediación Cognitiva para Esquizofrenia;Cognitive Remediation For Schizophrenia;CR, CR Schiz, RC, RC Esquiz;Centrada en el mejoramiento de las funciones cognitivas ejecutivas, aprendizaje, memoria, procesamiento, y atención. Foco en el entrenamiento individual y grupal en estrategias de afrontamiento y mejoría ante los deficits motivacionales y emocionales.;;"Base: Perspectivas Cognitivas.
Duración: Indeterminado.
Nivel de Evidencia: N/A (1998) / Fuerte (2015).";;;;
Trastorno Bipolar;Terapia Cognitiva;Terapia Cognitiva para Trastorno Bipolar; Cognitive Therapy (CT) for Bipolar;TC, TC Bipolar, CT, CT Bipolar;Centrada en psicoeducación sobre las bases biológicas del trastorno, la reestructuración cognitiva de pensamientos negativos propios de sí mismos, estrategias de afrontamiento ante estos pensamientos, restructuración de pensamientos positivos irracionales durante etapas de manía, entrenamiento en higiene del sueño, y regulación de esfuerzos excesivos por metas.;;"Base: Perspectivas Cognitivas.
Duración: Indeterminado.
Nivel de Evidencia: N/A (1998) / Moderada (2015).";;;;
Trastornos de Ansiedad y Pánico;Terapias de Exposición;Terapias de Exposición para Fobias Específicas;Exposure Therapies for Specific Phobias;TE, TE Fob Esp., ET, ET Sp. Fob;Centrada en el uso de técnicas de exposición de diversos tipos de acuerdo con la fobia o fobias reportadas por el consultante.;;"Base: Perspectivas Conductuales basadas en el Conductismo Skinneriano y en perspectivas de Condicionamiento Respondiente.
Duración: Aproximadamente 20 sesiones.
Nivel de Evidencia: N/A (1998) / Fuerte (2015).";;;;
